total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,run_time_original_mip,run_time_callback_mip,run_time_total,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
100.167444,100.167444,102.5229692,0.023515875,3.375545025,3.38,168.01,3.38,171.39,24,14,15,15,2,2,"2,4,6,7,8,9,10,12,14,15,16,18,22,25"
101.0711218,101.0711218,104.0179646,0.02915613,8.536422968,8.54,168.01,8.54,176.55,24,14,14,14,2,2,"4,6,7,8,9,10,12,14,15,17,18,19,24,25"
101.481251,101.481251,104.5214766,0.029958496,9.096302032,9.1,168.01,9.1,177.11,24,14,14,14,2,2,"2,4,6,7,9,10,12,14,16,18,19,22,24,25"
102.0913809,102.0913809,105.1262047,0.029726542,5.727393866,5.73,168.01,5.73,173.74,24,14,14,14,2,2,"2,4,7,8,9,10,12,14,15,18,19,22,24,25"
101.5149636,101.5149636,104.3894992,0.028316373,7.190342903,7.19,168.04,7.19,175.23,24,14,14,14,2,2,"2,4,8,9,10,12,14,15,16,18,19,22,24,25"
101.0173674,101.0173674,103.9426267,0.028957984,2.18678689,2.19,168.01,2.19,170.2,24,14,14,14,2,2,"4,6,7,8,9,10,14,15,17,18,19,22,24,25"
99.20377996,99.20377996,100.3267769,0.011320102,2.68979311,2.69,168.01,2.69,170.7,24,14,15,15,2,2,"2,4,6,7,8,9,10,15,16,18,19,22,24,25"
101.7856246,101.7856246,104.3737788,0.025427502,5.054643869,5.05,168.02,5.05,173.07,24,14,14,14,2,2,"2,4,6,7,8,9,10,14,15,17,18,22,24,25"
99.33747282,99.33747282,102.203564,0.028852064,3.403300047,3.4,168.02,3.4,171.42,24,14,14,14,2,2,"4,6,7,8,10,12,14,15,16,17,18,22,24,25"
96.80526291,96.80526291,99.62631881,0.029141555,3.375074148,3.38,168.01,3.38,171.39,24,14,15,15,2,2,"4,6,7,8,9,12,14,15,16,17,18,19,22,25"
98.61394093,98.61394093,100.7705406,0.021869116,6.22576499,6.23,168.01,6.23,174.24,24,14,14,14,2,2,"6,7,8,9,10,12,14,16,17,18,19,22,24,25"
100.8599864,100.8599864,103.7642156,0.028794662,2.88794899,2.89,168.01,2.89,170.9,24,14,14,14,2,2,"2,4,6,7,8,9,10,12,14,15,17,18,19,24"
100.6019862,100.6019862,103.4578655,0.028387902,8.163041115,8.16,168.01,8.16,176.17,24,14,14,14,2,2,"2,4,7,8,9,10,12,14,17,18,19,22,24,25"
99.20028255,99.20028255,102.1147296,0.029379423,4.330158949,4.33,180.01,4.33,184.34,24,15,15,15,2,2,"2,4,7,8,9,10,12,14,15,16,17,19,22,24,25"
99.40579817,99.40579817,102.3277128,0.029393805,0.806594133,0.81,180.01,0.81,180.82,24,15,15,15,2,2,"2,4,7,8,9,10,14,15,16,17,18,19,22,24,25"
97.93671908,97.93671908,100.8181702,0.029421561,2.421477079,2.42,180.02,2.42,182.44,24,15,15,15,2,2,"2,4,6,7,8,9,14,15,16,17,18,19,22,24,25"
95.87640112,95.87640112,98.32067639,0.025494024,5.578979969,5.58,180.01,5.58,185.59,24,15,16,16,2,2,"2,4,6,7,9,10,12,14,15,16,17,18,19,22,25"
99.50770788,99.50770788,102.2859419,0.027919787,2.540908813,2.54,180.01,2.54,182.55,24,15,15,15,2,2,"2,4,6,7,8,9,10,12,14,15,16,19,22,24,25"
99.57250124,99.57250124,102.4181445,0.028578606,2.467137814,2.47,180.01,2.47,182.48,24,15,15,15,2,2,"2,4,6,7,8,9,10,14,15,16,17,19,22,24,25"
96.50310442,96.50310442,98.94332389,0.025286435,9.796113968,9.8,180.01,9.8,189.81,24,15,15,15,2,2,"4,6,7,8,9,12,14,15,16,17,18,19,22,24,25"
95.60506014,95.60506014,97.15362508,0.016197521,5.056539059,5.06,180.01,5.06,185.07,24,15,16,16,2,2,"2,4,6,7,8,9,10,12,15,16,17,18,22,24,25"
97.68702903,97.68702903,100.6146943,0.029969847,4.168319941,4.17,180.03,4.17,184.2,24,15,15,15,2,2,"2,4,6,7,8,9,10,14,15,16,17,18,19,22,24"
